調査集団,刺激語,年齢区分,反応語,男,女,全,％
1.東京,動物,3歳児,象,20,21,41,
1.東京,動物,3歳児,ライオン,18,20,38,
1.東京,動物,3歳児,パンダ,13,17,30,
1.東京,動物,3歳児,きりん,9,19,28,
1.東京,動物,3歳児,さる,12,11,23,
1.東京,動物,3歳児,とら,12,8,20,
1.東京,動物,3歳児,うさぎ,6,11,17,
1.東京,動物,3歳児,くま,6,10,16,
1.東京,動物,3歳児,かば,6,8,14,
1.東京,動物,3歳児,ゴリラ,10,4,14,
1.東京,動物,3歳児,馬,6,5,11,
1.東京,動物,3歳児,犬,3,5,8,
1.東京,動物,3歳児,牛,1,5,6,
1.東京,動物,3歳児,カンガルー,4,2,6,
1.東京,動物,3歳児,鳥,2,4,6,
1.東京,動物,3歳児,ねこ,2,4,6,
1.東京,動物,3歳児,ペンギン,3,3,6,
1.東京,動物,3歳児,やぎ,4,2,6,
1.東京,動物,3歳児,あひる,0,5,5,
1.東京,動物,3歳児,亀,1,4,5,
1.東京,動物,3歳児,小鳥,3,2,5,
1.東京,動物,3歳児,しか,3,1,4,
1.東京,動物,3歳児,りす,0,4,4,
1.東京,動物,3歳児,かえる,2,1,3,
1.東京,動物,3歳児,しま馬,3,0,3,
1.東京,動物,3歳児,チンパンジー,2,1,3,
1.東京,動物,3歳児,はと,1,2,3,
1.東京,動物,3歳児,ワニ,1,2,3,
1.東京,動物,3歳児,怪獣,1,1,2,
1.東京,動物,3歳児,かに,1,1,2,
1.東京,動物,3歳児,きつね,0,2,2,
1.東京,動物,3歳児,金魚,0,2,2,
1.東京,動物,3歳児,子やぎ,1,1,2,
1.東京,動物,3歳児,さい,0,2,2,
1.東京,動物,3歳児,魚,2,0,2,
1.東京,動物,3歳児,白くま,1,1,2,
1.東京,動物,3歳児,すずめ,1,1,2,
1.東京,動物,3歳児,人間,1,1,2,
1.東京,動物,3歳児,チータ,1,1,2,
1.東京,動物,3歳児,ちょうちょう,1,1,2,
